word,count
that,3400031103
this,3228469771
with,3183110675
from,2275595356
your,2062066547
have,1564202750
more,1544771673
will,1356293641
home,1276852170
page,1082121730
free,1014107316
time,908705570
they,883223816
site,844310242
what,812395582
news,755424983
only,661844114
when,650621178
here,639711198
also,616829742
help,611054034
view,602279334
been,575019382
were,570699558
some,548829454
like,520585287
than,502609275
find,502043038
date,488967374
back,488024109
list,472590641
name,464532702
just,462836169
over,459222855
year,451092583
into,445315294
next,425903347
used,421438139
work,419483948
last,417601616
most,416210411
data,406908328
make,405084642
them,403000411
post,392956436
city,390564835
such,380725892
best,371852748
then,369928941
good,365796396
well,362082755
info,352363058
high,345413157
each,340892856
very,334923368
book,330959949
read,322331766
need,319376932
many,318966441
user,316446229
said,315595259
does,314018806
mail,310337185
full,309929179
life,306559205
know,306100813
days,305147791
part,302729303
real,297674493
item,296534935
must,292774716
made,287353021
line,280009597
send,274103587
type,272336859
take,264349801
area,259871557
want,258690345
long,252519588
code,250245121
show,247541986
even,245697701
much,242326300
sign,242290578
file,241864251
link,240402653
open,239670331
case,235563000
same,234822585
both,228648541
game,227111505
care,225326739
down,224915894
size,214844153
shop,212793848
text,208780080
rate,207634179
form,201395192
love,201063526
john,199642644
main,199616754
call,199608869
save,186091095
york,181556155
card,181387042
jobs,181075605
food,180144029
sale,179224570
teen,176301486
room,176299905
join,174297802
west,173346868
look,173043002
left,171752631
team,171687825
week,167202060
note,166657334
live,166005029
june,163951797
plan,160746244
cost,158887256
july,156667525
test,154999587
come,154326119
cart,152155277
play,150748333
less,145430147
park,141548802
side,141155373
give,140688602
sell,137696613
body,136560842
east,135037085
club,132428495
road,131800620
gift,131417909
hard,130054708
four,129167110
blue,126160941
easy,125548527
star,122498186
hand,121296661
keep,119602514
porn,119294962
baby,117696064
term,116282824
film,116097842
head,113316224
cell,113067567
self,112902176
away,112837472
once,111882023
sure,110528740
cars,109717836
tell,109553730
able,109389038
gold,107497778
arts,106466033
past,105625616
five,104165769
upon,103921220
says,103697915
land,103132933
done,102812628
ever,100264634
word,98671341
bill,98494166
talk,97850837
nude,96733793
kids,96602880
true,96269550
else,96020036
mark,95606752
