word,count
of,13151942776
to,12136980858
in,8469404971
is,4705743816
on,3750423199
by,3350048871
it,2813163874
or,2590739907
be,2398724162
at,2272272772
as,2247431740
an,1518266684
we,1390661912
us,1229112622
if,1134987907
my,1059793441
do,950751722
no,937112320
he,842847219
up,829969374
so,661809559
pm,604577485
am,576436203
me,566617666
re,430847564
go,421086358
de,314593284
cd,190859046
tv,159603914
la,157960401
pc,153460135
ii,133102742
ca,130326009
al,125787543
id,119974321
co,114452742
et,104251062
st,101338951
en,92803600
oh,81258789
ad,78774169
ny,75993177
dc,72528782
ok,69066566
ms,68359455
hi,67566273
hp,65635495
eg,64596001
pa,62377151
tx,60436467
ie,59425745
el,59377718
ma,58908038
md,56253287
fl,56095954
mb,56034110
mr,55692230
il,54379896
mm,53083729
ed,51788932
le,50474760
az,48985772
un,48651550
mi,48073394
th,46857152
dr,46346026
kb,45638167
pp,44854981
na,44784650
os,44556124
ex,42259849
fi,41812484
po,40656645
va,40591806
rd,40231948
sc,40185182
se,39483236
di,38771183
km,38605173
ga,38185755
ac,38166598
ft,38133521
im,37166923
vs,37115369
ar,36946912
mo,36853656
sa,36769721
eu,35326689
cc,34944653
wa,34865016
dj,34689225
cm,34312385
wi,34305144
ct,34123861
da,33450232
nj,33014240
hr,32969615
em,32964905
iv,32807831
ne,32142023
du,32025637
nt,31198810
es,31169475
pr,30599220
fr,30563000
aa,30523331
mt,30286047
oz,29644419
mg,29456015
ch,28470221
sd,28394298
rs,28000422
ss,25895791
ap,25843002
nm,25750788
mn,25715757
nd,25707693
op,25572791
tn,25378331
ce,24775497
ab,24218038
tm,23069293
sp,23003713
fm,22665700
db,21860146
ph,21776313
ia,21735285
pt,21722139
ha,21577216
ds,21532272
ea,21419982
lg,21327926
ff,20816662
ps,20356304
ky,20104754
br,19967415
lo,19862252
ml,19814809
cs,19432573
sf,19162406
kg,19097420
ut,19039754
si,18944942
mc,18760182
lp,18590726
ag,18177532
vi,18087881
ba,17893080
cr,17854445
pg,17796113
ee,17763784
sw,17482224
hd,17350024
er,17212593
jr,17113662
nv,16528965
su,16399691
sr,16203551
nr,16167942
mp,16074367
li,15843713
nl,15830230
ya,15718531
tr,15614045
bb,15607299
te,15057406
av,15036355
ra,14786910
rc,14693072
ec,14520396
rm,14318442
cf,14145612
vt,14134539
xx,13940135
gm,13918451
rt,13828683
cp,13806456
dd,13675652
pl,13608193
rf,13530421
ak,13486949
fe,13484286
td,13432717
sb,13412944
ah,13406814
sm,13383491
ns,13239487
ja,13156568
bs,13125950
bi,13070039
ta,12936942
gi,12673643
ll,12564191
cl,12549130
